X,Y,rowid,device_id,Location,ReportTime,AvgSpeed,Volume,Occupancy,Latitude,Longitude
-76.66214,39.38325,227,a5000d0100c200070057fa30c4235c0a,I-83 SOUTH PAST OLD PIMLICO RD,2025/05/11 04:07:26+00,60,90,9,39.38325,-76.66214
-76.8499399999999,38.9007,228,a70018c300ea00140057fa30c4235c0a,I-95 OUTER LOOP BETWEEN CENTRAL AVE AND ARENA DR,2025/05/11 04:07:27+00,60,253,35,38.9007,-76.84994
-76.884495,38.8232820000001,229,a8013857003e000d0057fa30c4235c0a,I-95 OUTER LOOP PAST SUITLAND RD,2025/05/11 04:07:26+00,70,158,7,38.823282,-76.884495
-76.884495,38.8232820000001,230,a8013857003e000d0057fa30c4235c0a,I-95 OUTER LOOP PAST SUITLAND RD,2025/05/11 04:07:26+00,65,137,14,38.823282,-76.884495
-76.8372909999999,39.46434,231,ab000425008b0058003bc7482f1f5daa,I-795 NB @ Cockey's Mill Road,2025/05/11 04:08:16+00,65,24,1,39.46434,-76.837291
-76.477562,39.0203990000001,232,ab0008c400d800530064d330c4235c0a,"US 50 East, at Ex 28 Bay Dale Dr",2025/05/11 04:10:00+00,65,8,1,39.020399,-76.477562
-76.477562,39.0203990000001,233,ab0008c400d800530064d330c4235c0a,"US 50 East, at Ex 28 Bay Dale Dr",2025/05/11 04:10:00+00,65,4,0,39.020399,-76.477562
-76.477562,39.0203990000001,234,ab0008c400d800530064d330c4235c0a,"US 50 East, at Ex 28 Bay Dale Dr",2025/05/11 04:10:00+00,70,0,0,39.020399,-76.477562
-76.544989,38.984064,235,ab01084b005300520063d330c4235c0a,"US 50 East, Exit 23, AA8.56 (L)",2025/05/11 04:10:00+00,65,10,1,38.984064,-76.544989
-77.1966429999999,39.118722,236,abff03ac00af00af003ac7482f1f5daa,I-270 SB @ I-370,2025/05/11 04:08:27+00,70,6,13,39.118722,-77.196643
-77.1966429999999,39.118722,237,abff03ac00af00af003ac7482f1f5daa,I-270 SB @ I-370,2025/05/11 04:08:27+00,60,123,9,39.118722,-77.196643
-76.844094,39.144144,238,ac0003e3005b00cc003bc7482f1f5daa,I-95 NB @ MD Welcome Center,2025/05/11 04:08:26+00,35,17,15,39.144144,-76.844094
-76.926112,39.0586910000001,239,ac0014db00e0000f0057fa30c4235c0a,I-95 SOUTH OF OLD GUNPOWDER RD,2025/05/11 04:07:47+00,65,134,2,39.058691,-76.926112
-76.926112,39.0586910000001,240,ac0014db00e0000f0057fa30c4235c0a,I-95 SOUTH OF OLD GUNPOWDER RD,2025/05/11 04:07:47+00,65,5,0,39.058691,-76.926112
-76.4723499999999,39.3646200000001,241,ac01051a004e00710057fa30c4235c0a,"I-95 SOUTH PRIOR TO KING AVE, MM 65.4",2025/05/11 04:08:17+00,70,132,1,39.36462,-76.47235
-76.52507,39.32798,242,ad0005d600b7004d0057fa30c4235c0a,I-95 SOUTH SOUTH OF CHESACO AVE,2025/05/10 22:53:18+00,70,350,3,39.32798,-76.52507
-76.771514,39.1930530000001,243,ad0006350017008d0057fa30c4235c0a,I-95 NORTH OF MEADOWRIDGE RD,2025/05/10 19:32:05+00,30,449,26,39.193053,-76.771514
-77.346916,39.403486,244,aeff08a100bb00820051fa30c4235c0a,"I-70 EB East of Ex. 56, Md 144",2025/05/11 04:08:26+00,55,53,1,39.403486,-77.346916
-76.825866,38.9472270000001,245,b1ff05ce009400930067d330c4235c0a,US 50 AT LOTTSFORD VISTA RD,2025/05/11 04:10:00+00,70,29,3,38.947227,-76.825866
-76.825866,38.9472270000001,246,b1ff05ce009400930067d330c4235c0a,US 50 AT LOTTSFORD VISTA RD,2025/05/11 04:10:00+00,70,26,2,38.947227,-76.825866
-75.568688,38.333248,247,b20007a2002500300064d330c4235c0a,US 13 North past MD 12 (L),2025/05/11 04:10:00+00,70,1,0,38.333248,-75.568688
-75.568688,38.333248,248,b20007a2002500300064d330c4235c0a,US 13 North past MD 12 (L),2025/05/11 04:10:00+00,70,0,0,38.333248,-75.568688
-76.6566549999999,38.960581,249,b40005d9007500ad0064d330c4235c0a,"US 50 East, prior to MD 424",2025/05/11 04:10:00+00,70,5,0,38.960581,-76.656655
-76.6566549999999,38.960581,250,b40005d9007500ad0064d330c4235c0a,"US 50 East, prior to MD 424",2025/05/11 04:10:00+00,70,4,0,38.960581,-76.656655
-76.9356799999999,39.0210300000001,251,b4001fcc00f400070057fa30c4235c0a,I-95 EAST OF CHERRY HILL RD,2025/05/11 04:08:26+00,70,156,18,39.02103,-76.93568
-76.8702709999999,39.3006090000001,252,b500097700f000a7003ac7482f1f5daa,I-70 EB West of Bethany Lane,2025/05/11 04:08:27+00,40,36,1,39.300609,-76.870271
